Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Collection_Date,common_name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,ENA-FIRST-PUBLIC (run),ENA-LAST-UPDATE (run),environment_(biome),environment_(feature),environment_(material),Experiment,external_id,geo_loc_name_country,geo_loc_name_country_continent,geographic_location_(country_and/or_sea),geographic_location_(latitude),geographic_location_(longitude),human_gut_environmental_package,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Instrument,Investigation_type,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,project_name,ReleaseDate,create_date,version,Sample Name,Sample_name,Sequencing_method,SRA Study,Submitter_Id,ENA_first_public,ENA-LAST-UPDATE,Scientific_Name,ENA_first_public,ENA_last_update,INSDC_center_alias
ERR4775538,WGS,101,179565476,PRJEB37924,SAMEA7501065,98849070,MAYO CLINIC,2016,human metagenome,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",2020-10-30,2020-10-30,lower digestive tract,rectum,feces,ERX4645374,SAMEA7501065,USA,North America,USA,44.9 N,93.2 W,human-gut,MAYO,2020-10-30T04:08:00Z,2020-10-29T18:50:15Z,public,Illumina HiSeq 4000,metagenome,unspecified,SINGLE,PCR,METAGENOMIC,human metagenome,ILLUMINA,Longitudinal multi-omics reveals subset-specific mechanisms underlying irritable bowel syndrome,2020-10-31T00:00:00Z,2020-11-05T22:16:00Z,1,SAMEA7501065,ibs_13,"Illumina HiSeq\, single-end reads\, 100 bp length",ERP121278,ibs_13,2020-10-30T04:08:00Z,2020-10-29T18:50:15Z,human metagenome,,,
ERR4775539,WGS,101,86637497,PRJEB37924,SAMEA7501066,51994391,MAYO CLINIC,2016,human metagenome,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",2020-10-30,2020-10-30,lower digestive tract,rectum,feces,ERX4645375,SAMEA7501066,USA,North America,USA,44.9 N,93.2 W,human-gut,MAYO,2020-10-30T04:08:00Z,2020-10-29T18:50:15Z,public,Illumina HiSeq 4000,metagenome,unspecified,SINGLE,PCR,METAGENOMIC,human metagenome,ILLUMINA,Longitudinal multi-omics reveals subset-specific mechanisms underlying irritable bowel syndrome,2020-10-31T00:00:00Z,2020-11-05T22:16:00Z,1,SAMEA7501066,ibs_14,"Illumina HiSeq\, single-end reads\, 100 bp length",ERP121278,ibs_14,2020-10-30T04:08:00Z,2020-10-29T18:50:15Z,human metagenome,,,
ERR4775540,WGS,101,161998243,PRJEB37924,SAMEA7501067,84062990,MAYO CLINIC,2016,human metagenome,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",2020-10-30,2020-10-30,lower digestive tract,rectum,feces,ERX4645376,SAMEA7501067,USA,North America,USA,44.9 N,93.2 W,human-gut,MAYO,2020-10-30T04:08:00Z,2020-10-29T18:50:15Z,public,Illumina HiSeq 4000,metagenome,unspecified,SINGLE,PCR,METAGENOMIC,human metagenome,ILLUMINA,Longitudinal multi-omics reveals subset-specific mechanisms underlying irritable bowel syndrome,2020-10-31T00:00:00Z,2020-11-05T22:17:00Z,1,SAMEA7501067,ibs_15,"Illumina HiSeq\, single-end reads\, 100 bp length",ERP121278,ibs_15,2020-10-30T04:08:00Z,2020-10-29T18:50:15Z,human metagenome,,,
ERR4775541,WGS,101,172070670,PRJEB37924,SAMEA7501068,91476490,MAYO CLINIC,2016,human metagenome,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",2020-10-30,2020-10-30,lower digestive tract,rectum,feces,ERX4645377,SAMEA7501068,USA,North America,USA,44.9 N,93.2 W,human-gut,MAYO,2020-10-30T04:08:00Z,2020-10-29T18:50:15Z,public,Illumina HiSeq 4000,metagenome,unspecified,SINGLE,PCR,METAGENOMIC,human metagenome,ILLUMINA,Longitudinal multi-omics reveals subset-specific mechanisms underlying irritable bowel syndrome,2020-10-31T00:00:00Z,2020-11-05T22:17:00Z,1,SAMEA7501068,ibs_16,"Illumina HiSeq\, single-end reads\, 100 bp length",ERP121278,ibs_16,2020-10-30T04:08:00Z,2020-10-29T18:50:15Z,human metagenome,,,
ERR4775542,WGS,101,224848523,PRJEB37924,SAMEA7501069,121901400,MAYO CLINIC,2016,human metagenome,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",2020-10-30,2020-10-30,lower digestive tract,rectum,feces,ERX4645378,SAMEA7501069,USA,North America,USA,44.9 N,93.2 W,human-gut,MAYO,2020-10-30T04:08:00Z,2020-10-29T18:50:15Z,public,Illumina HiSeq 4000,metagenome,unspecified,SINGLE,PCR,METAGENOMIC,human metagenome,ILLUMINA,Longitudinal multi-omics reveals subset-specific mechanisms underlying irritable bowel syndrome,2020-10-31T00:00:00Z,2020-11-05T22:17:00Z,1,SAMEA7501069,ibs_17,"Illumina HiSeq\, single-end reads\, 100 bp length",ERP121278,ibs_17,2020-10-30T04:08:00Z,2020-10-29T18:50:15Z,human metagenome,,,
ERR4775543,WGS,101,200778405,PRJEB37924,SAMEA7501070,100869868,MAYO CLINIC,2016,human metagenome,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",2020-10-30,2020-10-30,lower digestive tract,rectum,feces,ERX4645379,SAMEA7501070,USA,North America,USA,44.9 N,93.2 W,human-gut,MAYO,2020-10-30T04:08:00Z,2020-10-29T18:50:15Z,public,Illumina HiSeq 4000,metagenome,unspecified,SINGLE,PCR,METAGENOMIC,human metagenome,ILLUMINA,Longitudinal multi-omics reveals subset-specific mechanisms underlying irritable bowel syndrome,2020-10-31T00:00:00Z,2020-11-05T22:17:00Z,1,SAMEA7501070,ibs_18,"Illumina HiSeq\, single-end reads\, 100 bp length",ERP121278,ibs_18,2020-10-30T04:08:00Z,2020-10-29T18:50:15Z,human metagenome,,,
ERR4775544,WGS,101,67064808,PRJEB37924,SAMEA7501071,35281588,MAYO CLINIC,2016,human metagenome,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",2020-10-30,2020-10-30,lower digestive tract,rectum,feces,ERX4645380,SAMEA7501071,USA,North America,USA,44.9 N,93.2 W,human-gut,MAYO,2020-10-30T04:07:59Z,2020-10-29T18:50:15Z,public,Illumina HiSeq 4000,metagenome,unspecified,SINGLE,PCR,METAGENOMIC,human metagenome,ILLUMINA,Longitudinal multi-omics reveals subset-specific mechanisms underlying irritable bowel syndrome,2020-10-31T00:00:00Z,2020-11-05T22:16:00Z,1,SAMEA7501071,ibs_19,"Illumina HiSeq\, single-end reads\, 100 bp length",ERP121278,ibs_19,2020-10-30T04:07:59Z,2020-10-29T18:50:15Z,human metagenome,,,
ERR4775545,WGS,101,83408830,PRJEB37924,SAMEA7501072,51557885,MAYO CLINIC,2016,human metagenome,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",2020-10-30,2020-10-30,lower digestive tract,rectum,feces,ERX4645381,SAMEA7501072,USA,North America,USA,44.9 N,93.2 W,human-gut,MAYO,2020-10-30T04:07:59Z,2020-10-29T18:50:15Z,public,Illumina HiSeq 4000,metagenome,unspecified,SINGLE,PCR,METAGENOMIC,human metagenome,ILLUMINA,Longitudinal multi-omics reveals subset-specific mechanisms underlying irritable bowel syndrome,2020-10-31T00:00:00Z,2020-11-05T22:16:00Z,1,SAMEA7501072,ibs_20,"Illumina HiSeq\, single-end reads\, 100 bp length",ERP121278,ibs_20,2020-10-30T04:07:59Z,2020-10-29T18:50:15Z,human metagenome,,,
ERR4775546,WGS,101,176211569,PRJEB37924,SAMEA7501073,98337721,MAYO CLINIC,2016,human metagenome,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",2020-10-30,2020-10-30,lower digestive tract,rectum,feces,ERX4645382,SAMEA7501073,USA,North America,USA,44.9 N,93.2 W,human-gut,MAYO,2020-10-30T04:07:59Z,2020-10-29T18:50:15Z,public,Illumina HiSeq 4000,metagenome,unspecified,SINGLE,PCR,METAGENOMIC,human metagenome,ILLUMINA,Longitudinal multi-omics reveals subset-specific mechanisms underlying irritable bowel syndrome,2020-10-31T00:00:00Z,2020-11-05T22:17:00Z,1,SAMEA7501073,ibs_21,"Illumina HiSeq\, single-end reads\, 100 bp length",ERP121278,ibs_21,2020-10-30T04:07:59Z,2020-10-29T18:50:15Z,human metagenome,,,
ERR4775547,WGS,101,152437078,PRJEB37924,SAMEA7501074,80931255,MAYO CLINIC,2016,human metagenome,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",2020-10-30,2020-10-30,lower digestive tract,rectum,feces,ERX4645383,SAMEA7501074,USA,North America,USA,44.9 N,93.2 W,human-gut,MAYO,2020-10-30T04:07:59Z,2020-10-29T18:50:15Z,public,Illumina HiSeq 4000,metagenome,unspecified,SINGLE,PCR,METAGENOMIC,human metagenome,ILLUMINA,Longitudinal multi-omics reveals subset-specific mechanisms underlying irritable bowel syndrome,2020-10-31T00:00:00Z,2020-11-04T22:14:00Z,1,SAMEA7501074,ibs_22,"Illumina HiSeq\, single-end reads\, 100 bp length",ERP121278,ibs_22,2020-10-30T04:07:59Z,2020-10-29T18:50:15Z,human metagenome,,,
ERR4775548,WGS,101,187121084,PRJEB37924,SAMEA7501075,96696908,MAYO CLINIC,2016,human metagenome,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",2020-10-30,2020-10-30,lower digestive tract,rectum,feces,ERX4645384,SAMEA7501075,USA,North America,USA,44.9 N,93.2 W,human-gut,MAYO,2020-10-30T04:07:59Z,2020-10-29T18:50:15Z,public,Illumina HiSeq 4000,metagenome,unspecified,SINGLE,PCR,METAGENOMIC,human metagenome,ILLUMINA,Longitudinal multi-omics reveals subset-specific mechanisms underlying irritable bowel syndrome,2020-10-31T00:00:00Z,2020-11-05T22:17:00Z,1,SAMEA7501075,ibs_23,"Illumina HiSeq\, single-end reads\, 100 bp length",ERP121278,ibs_23,2020-10-30T04:07:59Z,2020-10-29T18:50:15Z,human metagenome,,,
ERR4775549,WGS,101,194180075,PRJEB37924,SAMEA7501076,103519618,MAYO CLINIC,2016,human metagenome,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",2020-10-30,2020-10-30,lower digestive tract,rectum,feces,ERX4645385,SAMEA7501076,USA,North America,USA,44.9 N,93.2 W,human-gut,MAYO,2020-10-30T04:07:59Z,2020-10-29T18:50:15Z,public,Illumina HiSeq 4000,metagenome,unspecified,SINGLE,PCR,METAGENOMIC,human metagenome,ILLUMINA,Longitudinal multi-omics reveals subset-specific mechanisms underlying irritable bowel syndrome,2020-10-31T00:00:00Z,2020-11-05T22:18:00Z,1,SAMEA7501076,ibs_24,"Illumina HiSeq\, single-end reads\, 100 bp length",ERP121278,ibs_24,2020-10-30T04:07:59Z,2020-10-29T18:50:15Z,human metagenome,,,
ERR4775550,WGS,101,176784340,PRJEB37924,SAMEA7501077,94485296,MAYO CLINIC,2016,human metagenome,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",2020-10-30,2020-10-30,lower digestive tract,rectum,feces,ERX4645386,SAMEA7501077,USA,North America,USA,44.9 N,93.2 W,human-gut,MAYO,2020-10-30T04:07:59Z,2020-10-29T18:50:15Z,public,Illumina HiSeq 4000,metagenome,unspecified,SINGLE,PCR,METAGENOMIC,human metagenome,ILLUMINA,Longitudinal multi-omics reveals subset-specific mechanisms underlying irritable bowel syndrome,2020-10-31T00:00:00Z,2020-11-05T22:17:00Z,1,SAMEA7501077,ibs_25,"Illumina HiSeq\, single-end reads\, 100 bp length",ERP121278,ibs_25,2020-10-30T04:07:59Z,2020-10-29T18:50:15Z,human metagenome,,,
ERR4775551,WGS,101,191147449,PRJEB37924,SAMEA7501078,94978736,MAYO CLINIC,2016,human metagenome,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",2020-10-30,2020-10-30,lower digestive tract,rectum,feces,ERX4645387,SAMEA7501078,USA,North America,USA,44.9 N,93.2 W,human-gut,MAYO,2020-10-30T04:07:59Z,2020-10-29T18:50:15Z,public,Illumina HiSeq 4000,metagenome,unspecified,SINGLE,PCR,METAGENOMIC,human metagenome,ILLUMINA,Longitudinal multi-omics reveals subset-specific mechanisms underlying irritable bowel syndrome,2020-10-31T00:00:00Z,2020-11-05T22:17:00Z,1,SAMEA7501078,ibs_26,"Illumina HiSeq\, single-end reads\, 100 bp length",ERP121278,ibs_26,2020-10-30T04:07:59Z,2020-10-29T18:50:15Z,human metagenome,,,
ERR4775552,WGS,101,219613592,PRJEB37924,SAMEA7501079,122590265,MAYO CLINIC,2016,human metagenome,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",2020-10-30,2020-10-30,lower digestive tract,rectum,feces,ERX4645388,SAMEA7501079,USA,North America,USA,44.9 N,93.2 W,human-gut,MAYO,2020-10-30T04:07:59Z,2020-10-29T18:50:16Z,public,Illumina HiSeq 4000,metagenome,unspecified,SINGLE,PCR,METAGENOMIC,human metagenome,ILLUMINA,Longitudinal multi-omics reveals subset-specific mechanisms underlying irritable bowel syndrome,2020-10-31T00:00:00Z,2020-11-05T22:17:00Z,1,SAMEA7501079,ibs_27,"Illumina HiSeq\, single-end reads\, 100 bp length",ERP121278,ibs_27,2020-10-30T04:07:59Z,2020-10-29T18:50:16Z,human metagenome,,,
ERR4775553,WGS,101,182386204,PRJEB37924,SAMEA7501080,99367533,MAYO CLINIC,2016,human metagenome,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",2020-10-30,2020-10-30,lower digestive tract,rectum,feces,ERX4645389,SAMEA7501080,USA,North America,USA,44.9 N,93.2 W,human-gut,MAYO,2020-10-30T04:07:59Z,2020-10-29T18:50:16Z,public,Illumina HiSeq 4000,metagenome,unspecified,SINGLE,PCR,METAGENOMIC,human metagenome,ILLUMINA,Longitudinal multi-omics reveals subset-specific mechanisms underlying irritable bowel syndrome,2020-10-31T00:00:00Z,2020-11-05T22:17:00Z,1,SAMEA7501080,ibs_28,"Illumina HiSeq\, single-end reads\, 100 bp length",ERP121278,ibs_28,2020-10-30T04:07:59Z,2020-10-29T18:50:16Z,human metagenome,,,
ERR4775554,WGS,101,113101214,PRJEB37924,SAMEA7501081,66403162,MAYO CLINIC,2016,human metagenome,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",2020-10-30,2020-10-30,lower digestive tract,rectum,feces,ERX4645390,SAMEA7501081,USA,North America,USA,44.9 N,93.2 W,human-gut,MAYO,2020-10-30T04:07:59Z,2020-10-29T18:50:16Z,public,Illumina HiSeq 4000,metagenome,unspecified,SINGLE,PCR,METAGENOMIC,human metagenome,ILLUMINA,Longitudinal multi-omics reveals subset-specific mechanisms underlying irritable bowel syndrome,2020-10-31T00:00:00Z,2020-11-05T22:17:00Z,1,SAMEA7501081,ibs_29,"Illumina HiSeq\, single-end reads\, 100 bp length",ERP121278,ibs_29,2020-10-30T04:07:59Z,2020-10-29T18:50:16Z,human metagenome,,,
ERR4775555,WGS,101,201086253,PRJEB37924,SAMEA7501082,110226921,MAYO CLINIC,2016,human metagenome,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",2020-10-30,2020-10-30,lower digestive tract,rectum,feces,ERX4645391,SAMEA7501082,USA,North America,USA,44.9 N,93.2 W,human-gut,MAYO,2020-10-30T04:07:59Z,2020-10-29T18:50:16Z,public,Illumina HiSeq 4000,metagenome,unspecified,SINGLE,PCR,METAGENOMIC,human metagenome,ILLUMINA,Longitudinal multi-omics reveals subset-specific mechanisms underlying irritable bowel syndrome,2020-10-31T00:00:00Z,2020-11-05T22:16:00Z,1,SAMEA7501082,ibs_30,"Illumina HiSeq\, single-end reads\, 100 bp length",ERP121278,ibs_30,2020-10-30T04:07:59Z,2020-10-29T18:50:16Z,human metagenome,,,
