ID,Tag,Group
ERR1913079,0,ERR1913079
ERR1913080,1,ERR1913080
ERR1913081,1,ERR1913081
ERR1913082,1,ERR1913082
ERR1913083,1,ERR1913083
ERR1913084,0,ERR1913084
ERR1913085,0,ERR1913085
ERR1913086,0,ERR1913086
ERR1913087,0,ERR1913087
ERR1913088,1,ERR1913088
ERR1913089,1,ERR1913089
ERR1913090,1,ERR1913090
ERR1913091,1,ERR1913091
ERR1913092,1,ERR1913092
ERR1913093,1,ERR1913093
ERR1913094,1,ERR1913094
ERR1913095,1,ERR1913095
ERR1913096,1,ERR1913096
ERR1913097,1,ERR1913097
ERR1913098,1,ERR1913098
ERR1913099,1,ERR1913099
ERR1913100,0,ERR1913100
ERR1913101,0,ERR1913101
ERR1913102,0,ERR1913102
ERR1913103,0,ERR1913103
ERR1913104,1,ERR1913104
ERR1913105,1,ERR1913105
ERR1913106,1,ERR1913106
ERR1913107,1,ERR1913107
ERR1913108,0,ERR1913108
ERR1913109,0,ERR1913109
ERR1913110,0,ERR1913110
ERR1913111,0,ERR1913111
ERR1913112,0,ERR1913112
ERR1913113,0,ERR1913113
ERR1913114,0,ERR1913114
ERR1913115,0,ERR1913115
ERR1913116,0,ERR1913116
ERR1913117,0,ERR1913117
ERR1913118,0,ERR1913118
ERR1913119,1,ERR1913119
ERR1913120,1,ERR1913120
ERR1913121,1,ERR1913121
ERR1913122,1,ERR1913122
ERR1913123,1,ERR1913123
ERR1913124,1,ERR1913124
ERR1913125,1,ERR1913125
ERR1913126,0,ERR1913126
ERR1913127,1,ERR1913127
ERR1913138,0,ERR1913138
